背锅侠;bēi guō xiá;Scapegoat.;"他总是成为公司的<b>**背锅侠**</b>。
<br>He always becomes the scapegoat of the company.
<br>
<br>小李在公司总是被当成<b>**背锅侠**</b>。
<br>Little Li is always the scapegoat at the company.
<br>
<br>他在公司总是被当成<b>**背锅侠**</b>，真是太倒霉了。
<br>He is always made the scapegoat at the company, which is really unfortunate.";"Imagine a hero with a wok on their back, always blamed. 背锅侠: ""Scapegoat Hero"". 背锅 = carry the wok/blame. 侠 = hero."
病从口入;bìng cóng kǒu rù;Illness enters through the mouth.;"疾病往往是通过吃东西传入体内的，古人总结出了“<b>**病从口入**</b>”的教训。
<br>Illness often enters the body through eating, and the ancients summed up this lesson with ""disease enters through the mouth.""
<br>
<br><b>**病从口入**</b>，祸从口出。
<br>Illness enters via the mouth, trouble emerges from the mouth.
<br>
<br><b>**病从口入**</b>，小心饮食。
<br>Illness enters through the mouth, be careful with your diet.";"Imagine ""Bing"" (病) sounds like ""binge."" ""From Mouth In"" = ""口入."" So, ""Binge eating, illness follows: 病从口入."" ""Bing from mouth in."" Easy!"
人中长，寿命就长;rén zhōng cháng, shòu mìng jiù cháng.;"""If there's a long philtrum, you'll have a long life.""";"<b>**人中长，寿命就长**</b>
<br>If the philtrum is long, the lifespan will be long.
<br>
<br><b>**人中长，寿命就长**</b>，这是一种传统的面相说法。
<br>A long philtrum means a long life, according to traditional facial reading.
<br>
<br><b>**人中长，寿命就长**</b>，是民间的一种说法。
<br>If the philtrum is long, life expectancy is long, which is a saying among the people.";Think: “Face’s philtrum = Life span.” Picture a long philtrum (人中) on someone's face means a longer life (寿命). Long philtrum, long life.
中南海;zhōng nán hǎi;Zhongnanhai, the central headquarters of the Chinese government.;"<b>**中南海**</b>是中国的政治中心。
<br>Zhongnanhai is the political center of China.
<br>
<br><b>**中南海**</b>是中国政府的重要所在地。
<br>Zhongnanhai is an important location for the Chinese government.
<br>
<br><b>**中南海**</b>是中国政府的重要行政区。
<br>Zhongnanhai is an important administrative district of the Chinese government.";"Think of “China South Sea.” 中 = ""Middle/China"", 南 = ""South"", 海 = ""Sea"". Picture a Chinese map center leading south to the sea: 中南海 (Zhōngnánhǎi)."
狼心狗肺;láng xīn gǒu fèi;Heartless and ungrateful.;"他做了那么多<b>**狼心狗肺**</b>的事情，令人难以想象。
<br>He did so many heartless and ungrateful things that it's hard to imagine.
<br>
<br>那个商人为了赚钱，竟然做出如此<b>**狼心狗肺**</b>的事情。
<br>The businessman did such a heartless and despicable thing just to make money.
<br>
<br>他对朋友<b>**狼心狗肺**</b>，毫无忠诚可言。
<br>He is heartless and treacherous to his friends, showing no loyalty at all.";"Think of a deceptive person: ""wolf heart, dog lungs."" Visualize a wolf hiding with bad intentions, and a dog being untrustworthy. Reminds you of betrayal."
铲屎官;chǎn shǐ guān;Pet owner (specifically someone who cleans up after their pet).;"<b>**铲屎官**</b>每天都要打扫猫砂盆。
<br>The pet owner has to clean the litter box every day.
<br>
<br><b>**铲屎官**</b>每天都要给猫咪清理猫砂。
<br>As a pet owner, I have to clean the litter box for my cat every day.
<br>
<br><b>**铲屎官**</b>每天都要给猫咪打扫厕所。
<br>The pet owner has to clean the cat's litter box every day.";"Imagine having a shovel (""铲"") for cleaning pet poop (""屎""), so a pet owner is like a ""poop-shoveling officer"" (""官""). So, think of ""shovel poop officer"" for 铲屎官"
托管;tuō guǎn;"""Custody"" or ""Trustee Service""";"公司决定将部分业务外包给<b>**托管**</b>服务。
<br>The company decided to outsource part of its business to a hosting service.
<br>
<br>他把孩子<b>**托管**</b>给了祖父母。
<br>He entrusted the care of his child to the grandparents.
<br>
<br>我们把孩子送到了<b>**托管**</b>班。
<br>We sent our child to the after-school care program.";"托管 (tuōguǎn) sounds like ""trust and manage."" Imagine handing over a task to someone you trust, and they manage everything for you. ""托"" - trust, ""管"" - manage."
上门喂狗;shàng mén wèi gǒu;House-sitting (specifically for feeding the dog);"邻居每天<b>**上门喂狗**</b>照顾我们家的宠物。
<br>The neighbor comes to our house every day to feed and take care of our pet dog.
<br>
<br><b>**上门喂狗**</b>是他的日常工作。
<br>Visiting homes to feed dogs is his daily job.
<br>
<br>每天早上，他都会<b>**上门喂狗**</b>。
<br>Every morning, he visits to feed the dog.";"""To 'visit and feed the dog' imagine 'going up the house' (上门) to 'give food' (喂) to a 'dog' (狗). Visualize the action graphically."""
睡觉知识惯例;shuì jiào zhī shì guàn lì;Sleep hygiene.;"每天保持良好的<b>**睡觉知识惯例**</b>有助于提高健康。
<br>Maintaining good sleep knowledge habits every day helps improve health.
<br>
<br>为了健康的生活，养成良好的<b>**睡觉知识惯例**</b>非常重要。
<br>For a healthy life, it is very important to develop good sleeping habits.
<br>
<br>每个人都有自己的<b>**睡觉知识惯例**</b>。
<br>Everyone has their own sleep habits and knowledge.";"""Remember the phrase: 'Sleep-Learn-Habit.' Imagine a daily routine: you sleep (睡觉), you gain knowledge (知识), and you form a habit (惯例)."""
气功;qì gōng;Qigong (a form of Chinese exercise and meditation for health and wellness);"<b>**气功**</b>是一种古老的锻炼身体和心灵的方法。
<br>Qigong is an ancient method for exercising the body and mind.
<br>
<br><b>**气功**</b>是一种古老的能量修炼方法。
<br>Qigong is an ancient energy cultivation practice.
<br>
<br><b>**气功**</b>是一种古老的修炼方法。
<br>Qi Gong is an ancient practice.";"""Qi"" for ""energy""; ""Gong"" for ""skill."" Imagine harnessing energy like a kung-fu master."
