背锅侠;bēi guō xiá;Scapegoat.;"他总是成为公司的**背锅侠**。
He always becomes the scapegoat of the company.

小李在公司总是被当成**背锅侠**。
Little Li is always the scapegoat at the company.

他在公司总是被当成**背锅侠**，真是太倒霉了。
He is always made the scapegoat at the company, which is really unfortunate.";"Imagine a hero with a wok on their back, always blamed. 背锅侠: ""Scapegoat Hero"". 背锅 = carry the wok/blame. 侠 = hero."
病从口入;bìng cóng kǒu rù;Illness enters through the mouth.;"疾病往往是通过吃东西传入体内的，古人总结出了“**病从口入**”的教训。
Illness often enters the body through eating, and the ancients summed up this lesson with ""disease enters through the mouth.""

**病从口入**，祸从口出。
Illness enters via the mouth, trouble emerges from the mouth.

**病从口入**，小心饮食。
Illness enters through the mouth, be careful with your diet.";"Imagine ""Bing"" (病) sounds like ""binge."" ""From Mouth In"" = ""口入."" So, ""Binge eating, illness follows: 病从口入."" ""Bing from mouth in."" Easy!"
人中长，寿命就长;rén zhōng cháng, shòu mìng jiù cháng.;"""If there's a long philtrum, you'll have a long life.""";"**人中长，寿命就长**
If the philtrum is long, the lifespan will be long.

**人中长，寿命就长**，这是一种传统的面相说法。
A long philtrum means a long life, according to traditional facial reading.

**人中长，寿命就长**，是民间的一种说法。
If the philtrum is long, life expectancy is long, which is a saying among the people.";Think: “Face’s philtrum = Life span.” Picture a long philtrum (人中) on someone's face means a longer life (寿命). Long philtrum, long life.
中南海;zhōng nán hǎi;Zhongnanhai, the central headquarters of the Chinese government.;"**中南海**是中国的政治中心。
Zhongnanhai is the political center of China.

**中南海**是中国政府的重要所在地。
Zhongnanhai is an important location for the Chinese government.

**中南海**是中国政府的重要行政区。
Zhongnanhai is an important administrative district of the Chinese government.";"Think of “China South Sea.” 中 = ""Middle/China"", 南 = ""South"", 海 = ""Sea"". Picture a Chinese map center leading south to the sea: 中南海 (Zhōngnánhǎi)."
狼心狗肺;láng xīn gǒu fèi;Heartless and ungrateful.;"他做了那么多**狼心狗肺**的事情，令人难以想象。
He did so many heartless and ungrateful things that it's hard to imagine.

那个商人为了赚钱，竟然做出如此**狼心狗肺**的事情。
The businessman did such a heartless and despicable thing just to make money.

他对朋友**狼心狗肺**，毫无忠诚可言。
He is heartless and treacherous to his friends, showing no loyalty at all.";"Think of a deceptive person: ""wolf heart, dog lungs."" Visualize a wolf hiding with bad intentions, and a dog being untrustworthy. Reminds you of betrayal."
铲屎官;chǎn shǐ guān;Pet owner (specifically someone who cleans up after their pet).;"**铲屎官**每天都要打扫猫砂盆。
The pet owner has to clean the litter box every day.

**铲屎官**每天都要给猫咪清理猫砂。
As a pet owner, I have to clean the litter box for my cat every day.

**铲屎官**每天都要给猫咪打扫厕所。
The pet owner has to clean the cat's litter box every day.";"Imagine having a shovel (""铲"") for cleaning pet poop (""屎""), so a pet owner is like a ""poop-shoveling officer"" (""官""). So, think of ""shovel poop officer"" for 铲屎官"
托管;tuō guǎn;"""Custody"" or ""Trustee Service""";"公司决定将部分业务外包给**托管**服务。
The company decided to outsource part of its business to a hosting service.

他把孩子**托管**给了祖父母。
He entrusted the care of his child to the grandparents.

我们把孩子送到了**托管**班。
We sent our child to the after-school care program.";"托管 (tuōguǎn) sounds like ""trust and manage."" Imagine handing over a task to someone you trust, and they manage everything for you. ""托"" - trust, ""管"" - manage."
上门喂狗;shàng mén wèi gǒu;House-sitting (specifically for feeding the dog);"邻居每天**上门喂狗**照顾我们家的宠物。
The neighbor comes to our house every day to feed and take care of our pet dog.

**上门喂狗**是他的日常工作。
Visiting homes to feed dogs is his daily job.

每天早上，他都会**上门喂狗**。
Every morning, he visits to feed the dog.";"""To 'visit and feed the dog' imagine 'going up the house' (上门) to 'give food' (喂) to a 'dog' (狗). Visualize the action graphically."""
睡觉知识惯例;shuì jiào zhī shì guàn lì;Sleep hygiene.;"每天保持良好的**睡觉知识惯例**有助于提高健康。
Maintaining good sleep knowledge habits every day helps improve health.

为了健康的生活，养成良好的**睡觉知识惯例**非常重要。
For a healthy life, it is very important to develop good sleeping habits.

每个人都有自己的**睡觉知识惯例**。
Everyone has their own sleep habits and knowledge.";"""Remember the phrase: 'Sleep-Learn-Habit.' Imagine a daily routine: you sleep (睡觉), you gain knowledge (知识), and you form a habit (惯例)."""
气功;qì gōng;Qigong (a form of Chinese exercise and meditation for health and wellness);"**气功**是一种古老的锻炼身体和心灵的方法。
Qigong is an ancient method for exercising the body and mind.

**气功**是一种古老的能量修炼方法。
Qigong is an ancient energy cultivation practice.

**气功**是一种古老的修炼方法。
Qi Gong is an ancient practice.";"""Qi"" for ""energy""; ""Gong"" for ""skill."" Imagine harnessing energy like a kung-fu master."
生锈;shēng xiù;Rusty;"**生锈**的自行车很难骑。
The rusty bicycle is hard to ride.

铁门已经**生锈**了。
The iron gate has rusted.

铁栅栏因为雨水而**生锈**了。
The iron fence rusted due to the rain.";"Think ""sheng"" (生: life) getting ""xiu"" (锈: rusty). Imagine a living plant (生) getting covered by rust (锈)."
火花;huǒ huā;Spark.;"**火花**点亮了黑夜。
The spark lit up the night.

**火花**点亮了黑暗的夜晚。
Sparks lit up the dark night.

**火花**在夜空中闪烁。
Sparks flicker in the night sky.";Think of a campfire (火) with tiny shining sparks (花). Fire (火) and flower (花) together make fireworks. Fireflower—火花.
端端正正;duān duān zhèng zhèng;Neat and tidy.;"他把书桌上的书整理得**端端正正**。
He arranged the books on his desk neatly and orderly.

他把书放在桌子上，**端端正正**。
He placed the book on the table, neatly and properly.

他的字写得**端端正正**。
His handwriting is neat and orderly.";"Imagine a soldier standing at attention; ""perfectly upright"" and ""proper"" in both posture and behavior. 端端正正 evokes that image."
不敢当;bù gǎn dāng;I wouldn't dare (accept the compliment).;"这份荣誉太重了，我真的**不敢当**。
This honor is too great, I really don't deserve it.

您这么夸奖，真是让我**不敢当**。
Hearing such praise from you, I really don't deserve it.

您的夸奖，我真的**不敢当**。
Your praise, I truly don't deserve.";"Think: ""So honored, I don't dare to accept."" Imagine a humble bow, saying ""Not deserving."" Visualize a gift you feel overwhelmed to receive. Or ""Too much honor."""
气功协会;qì gōng xié huì;Qigong Association;"**气功协会**致力于推广古老的气功艺术。
The Qigong Association is dedicated to promoting the ancient art of Qigong.

**气功协会**组织了一次大型健康研讨会。
The Qigong Association organized a large health seminar.

**气功协会**组织了一次大型的健康研讨会。
The Qigong Association organized a large health seminar.";“Qi Gong” sounds like “energy practice.” “Xie Hui” sounds like “association.” So, 气功协会 together is “Qi Gong energy practice association.” Easy to remember: Qi Gong = energy practice, association.
沙和尚;shā hé shàng;Sand Monk;"**沙和尚**是《西游记》中的一个重要人物。
Sha Wujing is an important character in ""Journey to the West.""

**沙和尚**是《西游记》中的角色。
Sha Wujing is a character in ""Journey to the West.""

**沙和尚**在旅途中帮助唐僧渡过许多困难。
Sha Wujing helped Tang Monk overcome many difficulties during the journey.";"Imagine ""Sha"" as someone covered in ""sand"" from the desert, becoming a ""monk"" (和尚 – Heshang) with a calm demeanor. ""Sand Monk."""
劈;pī;"""Chop"" or ""Hack"".";"他用斧头**劈**开了木头。
He split the wood with an axe.

他用力**劈**柴。
He chopped firewood forcefully.

他用斧头把木头**劈**成两半。
He split the log in half with an axe.";"Think of 劈 (pī) as ""pi"", like a karate chop, splitting a board cleanly in two. Visualize the motion of slicing."
逐年;zhú nián;Year by year.;"**逐年**增加的利润让公司信心倍增。
The steadily increasing annual profits have greatly boosted the company's confidence.

**逐年**提高生产效率
Increasing production efficiency year by year

**逐年**收入增加
Annual income increases year by year";"Think of ""逐"" like ""step by step"" and ""年"" as ""year."" Combined, it’s like ""year by year"". Visualization: climbing steps, one year at a time."
健康五要素;jiàn kāng wǔ yào sù;Five Elements of Health;"**健康五要素**是保持身体健康的关键。
The five elements of health are key to maintaining physical well-being.

每天保持**健康五要素**非常重要。
It is very important to maintain the five elements of health every day.

保持均衡饮食是**健康五要素**之一。
Maintaining a balanced diet is one of the five elements of health.";"""Healthy 5 factors: 'Jian' = health, 'Kang' = wellness, 'Wu' = five, 'Yaosu' = elements. Think 'JK Wu Elements' for memory aid."""
大脑生锈;dà nǎo shēng xiù;Brain rusting (i.e., mental rustiness or sluggish mind).;"如果你不经常思考，你的大脑会生锈。
If you don't think frequently, your brain will rust.

我的**大脑生锈**了，因为很久没有看书。
My brain has rusted because I haven't read a book in a long time.

**大脑生锈**了，我都记不住你的名字了。
My brain has rusted; I can't even remember your name.";"Imagine a big brain made of metal. Over time, rain makes it rusty. ""大"" (big), ""脑"" (brain), ""生锈"" (rusty). Big brain rusts—大脑生锈."
